Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Alamance,14.4,percent,,,No,2017,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Alamance,14.7,percent,,,No,2016,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Alamance,15.4,percent,,,No,2015,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Alamance,15.7,percent,,,No,2014,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Alamance,16.7,percent,,,No,2013,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Alamance,17.1,percent,,,No,2012,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Alamance,17.4,percent,,,No,2011,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Guilford,17.1,percent,,,No,2017,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Guilford,17.8,percent,,,No,2016,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Guilford,18.5,percent,,,No,2015,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Guilford,19,percent,,,No,2014,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Guilford,19.2,percent,,,No,2013,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Guilford,19.3,percent,,,No,2012,Feeding America,,,,,,,,,,
Food Insecurity Rate,This indicator shows the percentage of the population that experienced food insecurity at some point during the year.,County,Guilford,19.8,percent,,,No,2011,Feeding America,,,,,,,,,,
