Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.1,"deaths/ 1,000 live births",,,No,2013-2017,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",14.4,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.1,"deaths/ 1,000 live births",,,No,2013-2017,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",6.4,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2012-2016,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",17.1,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2012-2016,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,Hispanic,0,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2012-2016,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"Other, non-Hispanic",0,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2012-2016,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",6.7,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2011-2015,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",12.9,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2011-2015,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,Hispanic,5,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2011-2015,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"Other, non-Hispanic",5.9,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.8,"deaths/ 1,000 live births",,,No,2011-2015,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",5.5,"deaths/ 1,000 live births",,,No,
